latitude,longitude,stars,review_count,is_open,is_chain,RestaurantsPriceRange2,Num_of_attributes_shared,RestaurantsTakeOut_True,RestaurantsTakeOut_False,RestaurantsDelivery_True,RestaurantsDelivery_False,OutdoorSeating_True,OutdoorSeating_False,RestaurantsReservations_True,RestaurantsReservations_False,RestaurantsGoodForGroups_True,RestaurantsGoodForGroups_False,GoodForKids_True,GoodForKids_False,Japanese,Nightlife,Coffee & Tea,Bars,Sandwiches,Breakfast & Brunch,Cafes,Chinese,Sushi Bars,Canadian (New),Pizza,Fast Food,Burgers,Specialty Food,Seafood,Italian,Bakeries,Vietnamese,American (Traditional),American (New),Asian Fusion,Desserts,Vegetarian,Mediterranean,Indian,repeat_users,age,reviews_per_week,reactions_per_week,sentiment_score,review_length,user_stars,similar_restaurants_density,all_restaurants_density,relative_reviews_count,relative_reviews_per_week,relative_stars,relative_user_stars,relative_repeat_users,relative_price
49.2513423,-123.101333,3.5,169,1,1,2,18,1,0,1,0,0,1,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.0,10.473972602739726,0.3273650454302512,0.7127204703367184,0.7188931428571423,113.84571428571428,4.0,4.0,177.0,0.8510912231786892,0.10736258046771754,-0.1790471637558301,0.23790670867810404,0.6888990462080182,0.41554920164848885
49.2863603653,-123.1402613545,4.5,31,0,0,2,13,1,0,0,1,0,1,0,1,1,0,1,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0.0,1.5835616438356164,0.37543252595155713,1.1747404844290659,0.8582161290322581,133.1290322580645,5.0,40.0,447.0,-0.3827651822201955,0.10188069453089972,1.5347316109301532,1.4472581082086784,-0.6008650020240974,0.35648307329116824
49.2195321279,-123.0408930571,1.0,9,1,0,1,12,1,0,1,0,0,1,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0,6.345205479452055,0.033050047214353166,0.07271010387157696,-0.46684000000000003,142.1,1.0,2.0,10.0,-0.8897474419934,-1.1056719780755673,-1.8650096164806276,-1.414213562373095,-0.3441236008058427,-1.2247448713915892
49.2440788,-123.0633372,4.0,60,0,0,2,17,1,0,0,1,0,1,1,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.0,10.942465753424658,0.11917876815222835,0.45743615423134704,0.8023147058823529,130.73529411764707,4.0,23.0,82.0,-0.01261630120634457,-0.4903817615178044,0.5449883505954138,0.1067014491044369,1.2554618769543955,0.6527533657682197
49.283532,-123.117107,4.0,17,1,1,2,6,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0,5.30958904109589,0.07416127133608004,0.17304296645085343,0.6310166666666666,96.11111111111111,4.0,131.0,1123.0,-0.46754508417162616,-0.5983468310324143,0.8300608841897106,0.42930778600403485,-0.3418778634509541,0.3054483886956059
49.310091,-123.041686,3.5,54,1,0,2,20,1,0,1,0,0,1,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.0,11.06027397260274,0.0974477958236659,0.4186646042794535,0.7299518518518523,74.66666666666667,4.0,1.0,13.0,0.24231691604242642,0.06787585077050248,0.5337449961641162,0.8436490812191956,-0.6006677798393999,0.6666666666666666
49.2890522,-123.1394572,3.5,6,1,0,2,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1.0,0.5589041095890411,0.3356164383561644,0.0958904109589041,0.8525714285714285,114.14285714285714,4.0,56.0,417.0,-0.5782210943031849,-0.014116598943313323,-0.10117114464486283,0.23220601032397215,-0.31301144388033536,0.3100320868178081
49.2623212,-123.089898,3.5,10,1,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,2.802739726027397,0.07246376811594203,0.11594202898550725,0.82867,120.3,3.5,4.0,191.0,-0.635703025035819,-0.7888890255124933,-0.20210743439723597,-0.3895221556963828,-0.5871669209545017,0.608175179681256
49.3102265171,-123.0819049048,3.5,49,1,0,2,19,1,0,1,0,1,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0.0,12.591780821917808,0.0763239875389408,0.07009345794392523,0.4559448979591837,96.44897959183673,4.0,3.0,96.0,0.15510999510019213,-0.5891890747446683,-0.21172075457829614,0.04826795516415325,-0.6684885179668747,0.40451991747794525
49.321967,-123.072807,3.5,62,1,0,2,19,1,0,1,0,1,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,4.0,6.758904109589041,0.1988807576409815,0.3495479982780887,0.543310606060606,73.93939393939394,4.0,11.0,99.0,0.9348184316890354,0.7678655995617424,0.081110710565381,0.24667922863085842,1.3485269335068815,0.41084531595711965
